"tickers";"capex2018";"capex2019";"capex2020";"capex2021";"capex2022";"net_assets_from_acquisitions2018";"net_assets_from_acquisitions2019";"net_assets_from_acquisitions2020";"net_assets_from_acquisitions2021";"net_assets_from_acquisitions2022";"sale_of_fixed_assets_businesses2018";"sale_of_fixed_assets_businesses2019";"sale_of_fixed_assets_businesses2020";"sale_of_fixed_assets_businesses2021";"sale_of_fixed_assets_businesses2022"
"A";"(177M)";"(156M)";"(119M)";"(189M)";"(291M)";"(516M)";"(1.41B)";"-";"(546M)";"(52M)";"1M";"-";"1M";"1M";"-"
"AAL";"(3.75B)";"(4.27B)";"(1.96B)";"(412M)";"(2.91B)";"-";"-";"-";"-";"-";"1.21B";"904M";"1.02B";"374M";"147M"
"AAP";"(193.72M)";"(471.65M)";"(267.81M)";"(289.64M)";"(425.96M)";"-";"-";"-";"-";"-";"1.89M";"8.71M";"909K";"2.33M";"1.51M"
"AAPL";"(13.31B)";"(10.5B)";"(7.31B)";"(11.09B)";"(10.71B)";"(721M)";"(624M)";"(1.52B)";"(33M)";"(306M)";"-";"-";"-";"-";"-"
"ABBV";"(638M)";"(552M)";"(2B)";"(787M)";"(695M)";"-";"-";"(38.26B)";"(525M)";"(255M)";"-";"-";"-";"-";"-"
"ABT";"(1.39B)";"(1.64B)";"(2.18B)";"(1.89B)";"(1.78B)";"-";"(170M)";"(42M)";"(187M)";"-";"48M";"48M";"58M";"134M";"48M"
"ACGL";"(29.81M)";"(37.84M)";"(39.87M)";"(41.39M)";"(51.67M)";"-";"-";"-";"(753.92M)";"-";"-";"-";"-";"-";"-"
"ACN";"(619.19M)";"(599.01M)";"(599.13M)";"(580.13M)";"(718M)";"(657.55M)";"(1.19B)";"(1.53B)";"(4.17B)";"(3.45B)";"27.13M";"36.5M";"236.21M";"441.49M";"(107.66M)"
"ADBE";"(285.09M)";"(443.21M)";"(434M)";"(390M)";"(488M)";"(6.31B)";"(100.7M)";"-";"(2.68B)";"(126M)";"-";"-";"-";"-";"-"
"ADI";"(261.16M)";"(282.02M)";"(166.33M)";"(347.91M)";"(699.31M)";"(52.84M)";"(11.17M)";"(14.2M)";"(24.95M)";"-";"-";"-";"-";"2.49B";"-"
"ADM";"(842M)";"(828M)";"(823M)";"(1.17B)";"(1.32B)";"(464M)";"(1.95B)";"(15M)";"(1.56B)";"(22M)";"191M";"293M";"728M";"245M";"131M"
"ADP";"(566.5M)";"(616.4M)";"(505.9M)";"(553.4M)";"(571.6M)";"(125.5M)";"-";"-";"(11.7M)";"(32.4M)";"7.9M";"29.4M";"18.8M";"34.2M";"-"
"ADSK";"(67M)";"(53.2M)";"(95.9M)";"(66.5M)";"(46M)";"(1.04B)";"-";"(246.2M)";"(1.25B)";"(96M)";"-";"-";"-";"-";"-"
"AEE";"(2.34B)";"(2.44B)";"(3.3B)";"(3.52B)";"(3.38B)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"AEP";"(6.36B)";"(6.14B)";"(6.32B)";"(5.76B)";"(6.77B)";"(14.6M)";"(918.4M)";"(100.2M)";"(767.2M)";"(1.21B)";"-";"-";"-";"-";"218M"
"AES";"(2.12B)";"(2.41B)";"(1.9B)";"(2.12B)";"(4.55B)";"(66M)";"(192M)";"(395M)";"(775M)";"(845M)";"2.06B";"195M";"722M";"268M";"743M"
"AFL";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"AIG";"-";"-";"-";"-";"-";"(5.72B)";"-";"-";"-";"-";"10M";"2M";"2.17B";"4.68B";"-"
"AIZ";"(82.8M)";"(110.3M)";"(121.2M)";"(187.4M)";"(186.3M)";"(1.11B)";"(7.6M)";"(458.6M)";"(16.6M)";"(72.5M)";"69.9M";"3.3M";"-";"1.32B";"4.8M"
"AJG";"(124.4M)";"(138.8M)";"(99.3M)";"(128.6M)";"(182.7M)";"(784.8M)";"(1.27B)";"(324.3M)";"(3.25B)";"(764.9M)";"14.5M";"81M";"8.2M";"15.7M";"11M"
"AKAM";"(405.74M)";"(562.08M)";"(731.87M)";"(545.23M)";"(458.3M)";"(79K)";"(165.33M)";"(164.38M)";"(598.83M)";"(872.09M)";"-";"-";"-";"-";"-"
"ALB";"(699.99M)";"(851.8M)";"(850.48M)";"(953.67M)";"(1.26B)";"(11.4M)";"(820M)";"(22.57M)";"-";"(162.24M)";"413.57M";"10.36M";"-";"289.79M";"-"
"ALGN";"(223.31M)";"(149.71M)";"(154.92M)";"(401.1M)";"(291.9M)";"-";"-";"(420.79M)";"(8M)";"(12.3M)";"-";"-";"-";"-";"-"
"ALK";"(960M)";"(696M)";"(206M)";"(292M)";"(1.67B)";"-";"-";"-";"-";"-";"47M";"-";"279M";"2M";"4M"
"ALL";"(277M)";"(433M)";"(308M)";"(345M)";"(420M)";"(558M)";"(18M)";"-";"(3.59B)";"-";"-";"-";"1M";"2.06B";"209M"
"ALLE";"(49.1M)";"(65.6M)";"(47.1M)";"(45.4M)";"(64M)";"(376.1M)";"(7.6M)";"(12.5M)";"(6.5M)";"(923.1M)";"200K";"3.3M";"-";"-";"-"
"AMAT";"(622M)";"(441M)";"(422M)";"(668M)";"(787M)";"(6M)";"(28M)";"(107M)";"(12M)";"(441M)";"-";"-";"-";"-";"-"
"AMD";"(163M)";"(217M)";"(294M)";"(301M)";"(450M)";"-";"-";"-";"-";"(1.54B)";"-";"-";"-";"-";"2.37B"
"AME";"(82.08M)";"(102.35M)";"(74.2M)";"(110.67M)";"(139.01M)";"(1.13B)";"(1.06B)";"(116.51M)";"(1.96B)";"(429.71M)";"2.57M";"11.31M";"254.82M";"14.34M";"15.49M"
"AMGN";"(738M)";"(618M)";"(608M)";"(880M)";"(936M)";"-";"(13.62B)";"-";"(2.53B)";"(3.84B)";"195M";"-";"-";"-";"130M"
"AMP";"(162M)";"(143M)";"(147M)";"(120M)";"(182M)";"-";"-";"-";"(576M)";"-";"-";"934M";"-";"-";"34M"
