"ticker";"2018";"2019";"2020";"2021";"2022";"2023"
"ABT";5126980000000;4153090000000;3194050000000;2248860000000;1191420000000;178480000000
"ABBV";5136330000000;4130940000000;3189170000000;2239370000000;1285800000000;261580000000
"ABMD";514640000000;47690000000;314650000000;216340000000;117180000000;17180000000
"ACN";593970000000;4133910000000;3173060000000;2261990000000;1168170000000;206900000000
"ATVI";535550000000;445670000000;371750000000;251810000000;159900000000;72410000000
"ADBE";5110320000000;4159080000000;3239910000000;2269350000000;1156450000000;256710000000
"AAP";511400000000;411080000000;310680000000;214950000000;18710000000;4020000000
"AES";59570000000;413210000000;315630000000;216200000000;119210000000;11970000000
"AFL";534410000000;438440000000;331230000000;238620000000;144730000000;45170000000
"A";521480000000;426460000000;336350000000;248210000000;144300000000;35710000000
"AIG";534150000000;444650000000;332610000000;247210000000;146980000000;42870000000
"AIV";56540000000;47680000000;3780000000;21170000000;11070000000;1130000000
"APD";535150000000;451850000000;360390000000;267440000000;168430000000;66200000000
"AKAM";59950000000;413990000000;317090000000;219010000000;113250000000;15980000000
"ALK";57490000000;48330000000;36430000000;26550000000;15440000000;5710000000
"ALB";58130000000;47740000000;315700000000;227340000000;125400000000;23490000000
"ARE";512790000000;419510000000;324040000000;235230000000;123900000000;20230000000
"ALXN";321750000000;223930000000;134170000000;40330000000;0;0
"ALGN";516700000000;421880000000;342140000000;251820000000;116470000000;28690000000
"ALLE";57540000000;411540000000;310710000000;211870000000;19240000000;10070000000
"AGN";244450000000;162810000000;63650000000;0;0;0
"LNT";59970000000;413400000000;312870000000;215380000000;113850000000;12580000000
"ALL";527430000000;435870000000;333420000000;233010000000;135960000000;29060000000
"GOOG";5723550000000;4921130000000;31185000000000;21917000000000;11145000000000;1717000000000
"MO";592550000000;492730000000;376190000000;286400000000;181920000000;78270000000
"AMZN";5737460000000;4920220000000;31634000000000;21691000000000;1856940000000;1425000000000
"AMCR";0;417370000000;318460000000;218410000000;117730000000;14160000000
"AMD";518550000000;453650000000;3110420000000;2173770000000;1104430000000;176830000000
"AEE";515940000000;418900000000;319290000000;222920000000;122980000000;20610000000
"AAL";514790000000;412280000000;39630000000;211630000000;18260000000;9590000000
"AEP";536860000000;446700000000;341330000000;244160000000;148790000000;39930000000
"AXP";580730000000;4100830000000;397350000000;2124490000000;1110400000000;117550000000
"AMT";569770000000;4101780000000;399700000000;2133200000000;198640000000;84270000000
"AWK";516400000000;422210000000;327810000000;234280000000;127710000000;26820000000
"AMP";514220000000;420640000000;322920000000;233450000000;133130000000;35120000000
"ABC";515700000000;417490000000;319960000000;227770000000;133480000000;36140000000
