,Ticker,Security
0,MMM,3M
1,AOS,A. O. Smith
2,ABT,Abbott
3,ABBV,AbbVie
4,ACN,Accenture
5,ATVI,Activision Blizzard
6,ADM,ADM
7,ADBE,Adobe Inc.
8,ADP,ADP
9,AES,AES Corporation
10,AFL,Aflac
11,A,Agilent Technologies
12,APD,Air Products and Chemicals
13,AKAM,Akamai
14,ALK,Alaska Air Group
15,ALB,Albemarle Corporation
16,ARE,Alexandria Real Estate Equities
17,ALGN,Align Technology
18,ALLE,Allegion
19,LNT,Alliant Energy
20,ALL,Allstate
21,GOOGL,Alphabet Inc. (Class A)
22,GOOG,Alphabet Inc. (Class C)
23,MO,Altria
24,AMZN,Amazon
25,AMCR,Amcor
26,AMD,AMD
27,AEE,Ameren
28,AAL,American Airlines Group
29,AEP,American Electric Power
30,AXP,American Express
31,AIG,American International Group
32,AMT,American Tower
33,AWK,American Water Works
34,AMP,Ameriprise Financial
35,AME,Ametek
36,AMGN,Amgen
37,APH,Amphenol
38,ADI,Analog Devices
39,ANSS,Ansys
40,AON,Aon
41,APA,APA Corporation
42,AAPL,Apple Inc.
43,AMAT,Applied Materials
44,APTV,Aptiv
46,ANET,Arista Networks
47,AJG,Arthur J. Gallagher & Co.
48,AIZ,Assurant
49,T,AT&T
50,ATO,Atmos Energy
51,ADSK,Autodesk
52,AZO,AutoZone
53,AVB,AvalonBay Communities
54,AVY,Avery Dennison
55,BKR,Baker Hughes
56,BALL,Ball Corporation
57,BAC,Bank of America
58,BBWI,"Bath & Body Works, Inc."
59,BAX,Baxter International
60,BDX,Becton Dickinson
61,WRB,Berkley
62,BRK.B,Berkshire Hathaway
63,BBY,Best Buy
64,BIO,Bio-Rad
65,TECH,Bio-Techne
66,BIIB,Biogen
67,BLK,BlackRock
68,BK,BNY Mellon
69,BA,Boeing
70,BKNG,Booking Holdings
71,BWA,BorgWarner
72,BXP,Boston Properties
73,BSX,Boston Scientific
74,BMY,Bristol Myers Squibb
75,AVGO,Broadcom Inc.
76,BR,Broadridge Financial Solutions
77,BRO,Brown & Brown
78,BF.B,Brown–Forman
79,CHRW,C.H. Robinson
80,CDNS,Cadence Design Systems
81,CZR,Caesars Entertainment
83,CPB,Campbell Soup Company
84,COF,Capital One
85,CAH,Cardinal Health
86,KMX,CarMax
87,CCL,Carnival
88,CARR,Carrier Global
89,CTLT,Catalent
90,CAT,Caterpillar Inc.
91,CBOE,Cboe Global Markets
92,CBRE,CBRE Group
93,CDW,CDW
94,CE,Celanese
95,CNC,Centene Corporation
96,CNP,CenterPoint Energy
97,CDAY,Ceridian
98,CF,CF Industries
99,CRL,Charles River Laboratories
100,SCHW,Charles Schwab Corporation
101,CHTR,Charter Communications
102,CVX,Chevron Corporation
103,CMG,Chipotle Mexican Grill
104,CB,Chubb Limited
105,CHD,Church & Dwight
106,CI,Cigna
107,CINF,Cincinnati Financial
108,CTAS,Cintas
109,CSCO,Cisco
110,C,Citigroup
111,CFG,Citizens Financial Group
112,CLX,Clorox
113,CME,CME Group
114,CMS,CMS Energy
115,KO,Coca-Cola Company (The)
116,CTSH,Cognizant
117,CL,Colgate-Palmolive
118,CMCSA,Comcast
119,CMA,Comerica
120,CAG,Conagra Brands
121,COP,ConocoPhillips
122,ED,Consolidated Edison
123,STZ,Constellation Brands
125,COO,CooperCompanies
126,CPRT,Copart
127,GLW,Corning Inc.
128,CTVA,Corteva
130,COST,Costco
131,CTRA,Coterra
132,CCI,Crown Castle
133,CSX,CSX
134,CMI,Cummins
135,CVS,CVS Health
136,DHI,D.R. Horton
137,DHR,Danaher Corporation
138,DRI,Darden Restaurants
139,DVA,DaVita Inc.
140,DE,John Deere
141,DAL,Delta Air Lines
142,XRAY,Dentsply Sirona
143,DVN,Devon Energy
144,DXCM,Dexcom
145,FANG,Diamondback Energy
146,DLR,Digital Realty
147,DFS,Discover Financial
148,DIS,Disney
149,DG,Dollar General
150,DLTR,Dollar Tree
151,D,Dominion Energy
152,DPZ,Domino's
153,DOV,Dover Corporation
154,DOW,Dow Inc.
155,DTE,DTE Energy
156,DUK,Duke Energy
157,DD,DuPont
158,DXC,DXC Technology
159,EMN,Eastman Chemical Company
160,ETN,Eaton Corporation
161,EBAY,eBay
162,ECL,Ecolab
163,EIX,Edison International
164,EW,Edwards Lifesciences
165,EA,Electronic Arts
166,ELV,Elevance Health
167,LLY,Eli Lilly and Company
168,EMR,Emerson Electric
169,ENPH,Enphase
170,ETR,Entergy
171,EOG,EOG Resources
172,EPAM,EPAM Systems
174,EFX,Equifax
175,EQIX,Equinix
176,EQR,Equity Residential
177,ESS,Essex Property Trust
178,EL,Estée Lauder Companies (The)
179,ETSY,Etsy
180,EG,Everest Re
181,EVRG,Evergy
182,ES,Eversource
183,EXC,Exelon
184,EXPE,Expedia Group
185,EXPD,Expeditors International
186,EXR,Extra Space Storage
187,XOM,ExxonMobil
188,FFIV,"F5, Inc."
189,FDS,FactSet
190,FAST,Fastenal
191,FRT,Federal Realty
192,FDX,FedEx
193,FITB,Fifth Third Bank
195,FE,FirstEnergy
196,FIS,FIS
197,FI,Fiserv
198,FLT,Fleetcor
199,FMC,FMC Corporation
200,F,Ford Motor Company
201,FTNT,Fortinet
202,FTV,Fortive
203,FOXA,Fox Corporation (Class A)
204,FOX,Fox Corporation (Class B)
205,BEN,Franklin Templeton
206,FCX,Freeport-McMoRan
207,GRMN,Garmin
208,IT,Gartner
209,GEN,Gen Digital
210,GNRC,Generac
211,GD,General Dynamics
212,GE,General Electric
213,GIS,General Mills
214,GM,General Motors
215,GPC,Genuine Parts Company
216,GILD,Gilead Sciences
217,GL,Globe Life
218,GPN,Global Payments
219,GS,Goldman Sachs
220,HAL,Halliburton
221,HIG,Hartford (The)
222,HAS,Hasbro
223,HCA,HCA Healthcare
224,PEAK,Healthpeak
225,HSIC,Henry Schein
226,HSY,Hershey's
227,HES,Hess Corporation
228,HPE,Hewlett Packard Enterprise
229,HLT,Hilton Worldwide
230,HOLX,Hologic
231,HD,Home Depot (The)
232,HON,Honeywell
233,HRL,Hormel Foods
234,HST,Host Hotels & Resorts
235,HWM,Howmet Aerospace
236,HPQ,HP Inc.
237,HUM,Humana
238,HBAN,Huntington Bancshares
239,HII,Huntington Ingalls Industries
240,IBM,IBM
241,IEX,IDEX Corporation
242,IDXX,Idexx Laboratories
243,ITW,Illinois Tool Works
244,ILMN,Illumina
245,INCY,Incyte
246,IR,Ingersoll Rand
247,INTC,Intel
248,ICE,Intercontinental Exchange
249,IFF,International Flavors & Fragrances
250,IP,International Paper
251,IPG,Interpublic Group of Companies (The)
252,INTU,Intuit
253,ISRG,Intuitive Surgical
254,IVZ,Invesco
256,IQV,IQVIA
257,IRM,Iron Mountain
258,JBHT,J.B. Hunt
259,JKHY,Jack Henry & Associates
260,J,Jacobs Solutions
261,JNJ,Johnson & Johnson
262,JCI,Johnson Controls
263,JPM,JPMorgan Chase
264,JNPR,Juniper Networks
265,K,Kellogg's
267,KEY,KeyCorp
268,KEYS,Keysight
269,KMB,Kimberly-Clark
270,KIM,Kimco Realty
271,KMI,Kinder Morgan
272,KLAC,KLA Corporation
273,KHC,Kraft Heinz
274,KR,Kroger
275,LHX,L3Harris
276,LH,LabCorp
277,LRCX,Lam Research
278,LW,Lamb Weston
279,LVS,Las Vegas Sands
280,LDOS,Leidos
281,LEN,Lennar
282,LNC,Lincoln Financial
283,LIN,Linde plc
284,LYV,Live Nation Entertainment
285,LKQ,LKQ Corporation
286,LMT,Lockheed Martin
287,L,Loews Corporation
288,LOW,Lowe's
289,LYB,LyondellBasell
290,MTB,M&T Bank
291,MRO,Marathon Oil
292,MPC,Marathon Petroleum
293,MKTX,MarketAxess
294,MAR,Marriott International
